name,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
Nr5a1-2,3643,15340,27132,1660,39745,4352,46243,21688,2831,3924,1754,1322,5268,341,36,179
Nr5a1-3,53669,14725,7297,20718,10190,5227,5390,11713,53511,30437,9748,18344,23330,20828,0,8835
Nr5a1-4,2683,0,0,0,136,51,0,1788,5,0,0,0,12,0,0,0
Nr5a2-1,1267,6428,902,115,10,1400,86,1275,2214,4524,3510,2231,4383,5320,3126,359
Nr5a2-2,41430,446307,1470454,169897,277050,567797,380397,210918,187347,50887,54007,170309,50012,72583,140391,125569
Nr5a2-3,16247,14758,7008,5652,6729,9192,536,1,43494,3779,2729,5838,2143,201,66,126
Nr6a1-1,43505,29118,8204,18075,19435,16557,8266,13590,71952,27690,23322,23049,26345,18789,4407,2162
Nr6a1-2,2186,21,257,879,255,124,98,37,7,2,15,48,11,0,0,0
Nr6a1-3,89066,31287,20861,7015,74210,33917,368813,133696,150514,211598,123844,113902,201643,230073,61991,72921
Nr6a1-4,47343,17275,4273,5394,9487,4779,1060,3071,61067,21329,11848,12327,16744,19017,1514,6673
Pgr-1,14832,2269,1265,5843,3874,1769,1013,2022,16383,11215,11982,10952,13885,24212,21234,22867
Pgr-2,6583,1297,2509,129,1830,457,1999,6,7992,1029,371,7,151,221,3,1515
Pgr-3,8405,0,0,1,236,0,4,0,4885,2333,4,2,5445,2029,0,949
Pgr-4,8755,23776,18673,10098,10235,4565,15671,4576,7365,9716,7994,8680,15827,7118,4693,2636
Pgr-5,59926,63739,70013,58546,77344,50652,271661,94004,75339,33989,36359,29312,23661,39391,22607,12885
Pgr-6,2760,3337,6055,4479,6806,2260,2809,1504,322,3820,3677,1256,142,428,276,859
Ppara-1,6331,150,381,1414,2647,803,121,45,1845,2935,2132,2183,4418,2738,10768,6427
Ppara-2,6601,10181,3124,12124,7316,15898,2422,8283,19254,16531,7509,27120,6877,15621,3851,5509
Ppara-3,15437,33393,12623,44470,14451,25381,7133,8752,14030,9857,18599,8408,16610,14937,2329,3176
Ppard-1,432,1,504,502,1,0,0,0,1791,98,675,1,1376,13,0,3
Ppard-2,75903,50808,33192,43691,132261,173102,26490,53552,118654,23886,40257,28066,43831,40713,4400,14886
Ppard-3,1525,153,2,886,95,311,22,774,4644,576,14,3,29,3,0,2
Ppard-4,13225,2435,717,7,1888,266,1030,0,10186,0,2900,0,100,1,2,0
Ppard-5,2055,1234,5966,15,5,60,1,28,4712,249,1008,271,2939,53,535,331
Ppard-6,9186,358,1570,5008,2579,35,708,928,7328,2514,2157,921,1387,1092,1027,805
Ppard-7,22196,42616,41852,35989,184033,168466,105750,60648,10124,4539,13277,8127,17328,12164,4489,2088
Pparg-1,81431,11259,15011,16113,24689,15458,2691,2546,42666,16241,24461,21094,37574,25934,4232,4806
Pparg-2,388,3,58,56,174,19,11,189,185,8,145,84,450,480,11,6
Pparg-3,34039,35141,23743,48875,35718,19496,40920,35091,19739,47286,53623,17945,22693,33251,4755,14099
Pparg-4,3356,434,232,3934,167,1142,56,149,2104,79,50,2,54,100,251,198
Pparg-5,15115,4815,6,0,3368,0,0,1,17647,5306,3315,18216,5340,8656,536,7022
Ppargc1a-1,5433,3465,3971,6011,13152,5988,962,1171,7440,934,1149,3137,1914,729,262,1931
Ppargc1a-2,52646,28395,15910,28627,12873,18024,5325,3562,48152,31637,28767,31972,26320,18130,5080,4345
Ppargc1a-3,2877,4223,1120,8186,4616,10648,35,751,4904,6409,1522,6810,4970,1941,473,2216
Ppargc1b-1,3301,39,34,1132,528,234,1,4059,262,2,14,1382,2115,9,0,86
Ppargc1b-2,1754,9,183,11,13309,4704,14074,15599,139,903,4060,4161,1225,210,465,148
Ppargc1b-3,6790,3338,4481,11035,8302,5722,669,318,6928,17745,7062,7790,898,5124,2048,1435
Rara1,3431,5447,765,1933,2809,1784,385,591,6417,10837,13670,10926,7893,5436,1088,4404
Rara2,5417,551,0,180,6159,221,276,2,2147,2273,3586,749,21,1208,11,476
Rara3,8588,15009,8844,11852,9064,5626,2871,3096,11731,5763,5735,16572,9106,5445,205,799
Rara4,38466,20749,14654,22162,24696,16062,8304,4788,48539,71226,85420,45037,95096,53907,64962,45614
Rarb1,92765,101776,61147,136544,51201,43374,20299,17325,100036,66764,54070,66766,60244,141930,31231,95000
Rarb2,61702,24982,8690,12270,11607,7201,3276,3879,58576,62048,67429,24733,91003,64718,22686,9058
Rarb3,3055,319,1,166,0,45,0,0,371,62,106,36,201,5,499,129
Rarg1,10298,10427,6140,13362,30648,27519,19759,29155,14437,7930,8430,6733,5514,4009,657,2122
Rarg2,91380,206448,26662,464986,39591,69433,7395,58781,77059,75015,62968,70969,53936,54482,8469,18545
Rarg3,4473,2861,2694,3138,1098,1928,1709,922,6140,3922,5607,1908,9640,4454,3705,3715
Rora1,96721,16921,23089,40614,50792,22643,15499,22933,67180,37267,35673,33375,34904,41220,28242,9918
Rora2,849,12472,8440,6987,9780,16644,9005,10468,5813,213,4348,191,1037,2752,3133,1167
Rora3,53104,9358,4862,17467,12174,9546,2222,5660,73999,95411,103827,61484,40699,55742,24326,52164
Rorb1,1960,2034,0,1,3431,0,0,595,6536,554,114,0,1036,894,0,2
Rorb2,39498,12150,7675,11581,9943,9204,2341,4632,24188,20825,23143,18686,11598,16393,1383,7519
Rorb3,6804,2611,85,208,1236,1315,396,207,5485,1850,452,256,453,801,270,45
Rorc1,44148,87117,71953,101158,143800,43103,14761,10956,40247,108495,74744,149776,56790,89644,4495,13829
Rorc2,4687,13747,5573,10105,6914,2654,6028,5689,3819,2133,1277,1801,272,252,104,0
Rorc3,9201,4331,326,4028,3646,148,636,3,27060,8177,1965,6328,3624,8050,7,2853
Rxra1,27,0,0,1,13,0,0,0,2009,0,0,0,0,0,0,0
Rxra2,16761,10506,21310,13378,22404,10712,8280,9494,10360,18926,17349,12356,14573,18962,12746,10701
Rxra3,4,3,0,0,5,0,0,8,2693,1,0,0,2,0,1,0
Rxra4,1,540,286,0,0,0,1186,0,2304,23,0,10,0,0,0,0
Rxrb1,11078,3713,3698,3359,4159,3963,1609,1438,9146,15327,7433,13503,17747,12843,3211,2257
Rxrb2,8503,4806,6311,6395,4358,4475,1533,2725,7109,2447,3883,3809,2952,4337,2158,926
Rxrb3,264,1966,457,967,60,192,308,87,3219,458,4776,1126,222,1233,202,309
Rxrb4,17,297,0,0,0,0,0,0,2289,0,0,0,0,0,0,0
Rxrg1,10946,3355,5110,6959,1545,2149,1022,898,16572,15665,8454,20319,8209,11861,4053,4467
Rxrg2,3111,26015,18905,27593,4014,6880,13461,17398,13452,9760,3094,1213,7990,3107,452,2567
Rxrg3,12662,10829,4706,9868,20922,5598,1467,4957,33351,19877,10952,5718,6153,5743,2959,404
Scand1-1,87,51,496,401,232,23,205,66,7657,0,0,13,3,4,24,0
Scand1-2,3033,5,3126,0,18066,6046,100712,97666,5748,65,51,33,2,13,0,11
Scand1-3,5233,3966,2047,4166,4273,4742,282,743,13388,4851,3876,3277,2759,5305,735,811
Scand1-4,0,2165,0,27,22,0,3,7522,227,1,0,0,0,0,0,0
Tgr5-1,13653,5785,22892,2475,6828,10453,3649,952,2447,6719,5789,5999,1688,2972,6716,4649
Tgr5-2,5946,4286,2406,1289,786,2063,1102,3745,367,997,259,523,4524,3093,2417,8452
Tgr5-3,133,4096,6302,827,9,4908,1447,6269,1,0,0,1,1393,0,1836,1
Thra1,886,10505,3286,6646,2256,8122,20770,7703,33,0,25,1,66,1,0,0
Thra2,7020,0,0,0,39,54,0,0,3971,17,271,12,64,91,10,0
Thra3,0,41,0,0,0,515,0,5,826,155,561,0,5233,0,10,1348
Thra4,264,0,21,2,0,0,0,0,4400,7,0,0,2,1,0,0
Thra5,10596,6115,4165,7809,952,2478,205,5002,7223,2826,1016,6452,2254,1431,255,310
Thra6,7015,21,67,598,2,2,1,0,3525,18,21,1997,0,43,3,6
Thrb1,11638,1224,814,5795,4645,2856,1967,900,18775,6842,4390,6102,8338,5927,929,687
Thrb2,9955,0,0,0,0,0,0,0,9867,3247,18,32,1726,98,0,0
Thrb3,714,3315,3514,11722,1998,885,2749,2905,43,1158,753,1062,824,45,0,191
Thrb4,3321,252,173,953,1281,235,167,75,99,275,0,26,171,97,0,4
Vdr1,21601,14096,19732,23210,19677,14293,3283,3572,29191,43805,34946,26998,33485,27079,4978,9706
Vdr2,6388,839,3315,277,1192,967,338,211,5750,782,5702,3201,3215,307,270,450
Vdr3,50,3,0,40,1,0,1350,1877,6367,20,37,45,6,0,589,535
